index,time
1,9061
10001,1768
20001,2113
30001,872
40001,916
50001,1164
60001,754
70001,835
80001,1846
90001,669
100001,1018
110001,1541
120001,977
130001,566
140001,1045
150001,1698
160001,1922
170001,1545
180001,1076
190001,1418
200001,965
210001,876
220001,2200
230001,1022
240001,869
250001,1483
260001,1144
270001,1855
280001,1368
290001,638
300001,1210
310001,618
320001,802
330001,666
340001,1612
350001,615
360001,689
370001,642
380001,1754
390001,18237
400001,458
410001,653
420001,804
430001,729
440001,556
450001,820
460001,542
470001,768
480001,664
490001,595
500001,790
510001,992
520001,688
530001,617
540001,654
550001,762
560001,570
570001,728
580001,1238
590001,561
600001,685
610001,1270
620001,1512
630001,604
640001,1637
650001,1747
660001,1228
670001,729
680001,1316
690001,1058
700001,676
710001,916
720001,1003
730001,879
740001,1487
750001,754
760001,1320
770001,920
780001,1003
790001,1386
800001,1540
810001,1493
820001,662
830001,806
840001,1128
850001,610
860001,1090
870001,2433
880001,924
890001,951
900001,1770
910001,973
920001,829
930001,1228
940001,651
950001,1547
960001,1281
970001,1801
980001,585
990001,1750
