range,average_time
1,1024542766.4
101,822872.4
201,3117133.6
301,8447143.2
401,13843170.6
501,24104452.6
601,33680517.8
701,44817177.8
801,67466082.6
901,77450874.8
1001,114931875.6
1101,131689732.4
1201,147176651.6
1301,173885258.6
1401,194954730.2
1501,216961536.4
1601,249859631.8
1701,281174835.4
1801,310674333.6
1901,354018128.2
2001,446891149.8
2101,465075413.0
2201,543810644.6
2301,546222621.2
2401,616030639.6
2501,672573624.0
2601,791877660.4
2701,747753868.2
2801,947104075.8
2901,848403491.2
3001,924213380.4
3101,972782212.8
3201,973952604.8
3301,1056672601.6
3401,1320929355.8
3501,1262113043.8
3601,1390262725.6
3701,1478192616.6
3801,1512678608.4
3901,1466844590.4
4001,1606750605.0
4101,1767926556.0
4201,1752358709.4
4301,2084257093.2
4401,2228114414.6
4501,2280553536.2
4601,2121886108.4
4701,2007994026.8
4801,2075874111.8
4901,2237060758.8
5001,2614805018.0
5101,2896394993.6
5201,2807273002.4
5301,2779963829.8
5401,2996623275.8
5501,3210891144.6
5601,3543388256.8
5701,3352628990.4
5801,3415304058.4
5901,3476270466.4
6001,3537434891.8
6101,3800127158.6
6201,4377854341.2
6301,3835281263.6
6401,4838092906.2
6501,4434787832.2
6601,4391961650.8
6701,4778330236.8
6801,4850462750.2
6901,4895919557.6
7001,5312993845.4
7101,6002165936.4
7201,5826916375.4
7301,6169617147.2
7401,6056349191.0
7501,6176606273.0
7601,6091457808.2
7701,5953232947.2
7801,6339011146.8
7901,7431637151.6
8001,8812871578.4
8101,7926440980.8
8201,8197733021.8
8301,8129512930.2
8401,7381785600.2
8501,6976235578.4
8601,7235070558.4
8701,8018144841.0
8801,8024100768.8
8901,7917379023.8
9001,8571049151.6
9101,8360098311.4
9201,8389128430.6
9301,8829623830.4
9401,9840706259.0
9501,11284943842.6
9601,12646512811.6
9701,11025293063.4
9801,10323819422.4
9901,10295949451.6
